z,x
1,1.06239964830377
2,0.52017672028206
3,0.0830074585988657
1,1.72165953189393
2,0.136352554015971
3,0.491213216105529
1,0.195802861323069
3,0.91416494907501
2,0.0315950617705827
3,0.933068093397586
5,2.17102352999786
2,0.473337375256444
1,0.181974055543075
2,0.20278777569151
2,0.721134383794421
1,0.827513108891569
2,2.27424943455561
1,1.72072625762639
2,0.17078977813791
3,0.569387585716952
1,0.244016008867292
1,1.22375276450207
2,0.911645084720895
1,0.208787151320505
2,2.86732934840377
2,2.53032270508566
2,0.846701724321601
0,0.167632706542388
0,1.7598633283669
0,1.44493056679738
2,1.04126804318734
0,1.69833846662336
1,1.46922082056903
3,0.905693459096875
1,1.21664228542609
2,2.54558528177446
2,2.13585298193829
3,0.824785651795629
1,0.102196621887607
2,0.00420476074070985
2,0.962277777455076
1,1.30178170476407
1,1.53237167764783
0,0.396743192062501
0,0.659715110712998
3,2.86234281905664
1,0.963310162863208
1,0.968067067758532
2,0.354975762839734
4,0.0377526756584917
0,0.0612051093156471
3,2.35639111240015
0,0.722615808852784
2,2.88192055095944
1,0.236387013837263
1,2.90116445407832
4,2.53348750787095
1,0.294499925053384
0,0.364245279667411
1,0.243986314531617
2,0.550360353488483
1,0.55690665307064
1,0.0815943795419995
1,0.0239825321713689
1,0.281404274227898
0,1.04376599253008
0,0.161327585672219
1,0.344412019675214
1,2.29247804474169
2,0.0399386551795531
2,2.27402762872658
2,1.65115098045677
2,0.655057253681891
2,1.12266193006899
2,0.585459056179801
2,0.181041021964626
1,0.433915643170388
2,1.07982517994419
0,0.477401163199086
1,3.04809261725766
0,2.61330491594225
0,0.231290587517023
0,2.57343495188486
1,0.58547971400146
1,0.556687504893431
2,3.70519405662418
0,0.484430364094359
0,0.932626371304737
2,1.9632660858522
1,0.205278200260416
1,1.54332008123013
2,0.468595721552572
0,0.576056452787334
0,0.0254420574819541
1,0.287022147850753
1,0.0175301972072463
4,0.488474937684529
1,0.554930865888895
1,1.30578572595966
1,0.121622439231235
